Time,PT,DS,FBUOY
0.00,0,0,0
0.04,0,0,0
0.08,0,0,0
0.12,0,0,0
0.16,0,0,0
0.20,0,0,0
0.24,0,0,0
0.28,0,0,0
0.32,0,0,0
0.36,0,0,0
0.40,0,0,0
0.44,0,0,0
0.48,0,0,0
0.52,0,0,0
0.56,0,0,0
0.60,0,0,0
0.64,0,0,0
0.68,0,0,0
0.72,1,0,0
0.76,1,0,0
0.80,1,0,0
0.84,1,0,0
0.88,1,0,0
0.92,1,0,0
0.96,1,0,0
1.00,1,0,0
1.04,0,0,0
1.08,0,0,0
1.12,0,0,0
1.16,0,0,0
1.20,0,0,0
1.24,0,0,0
1.28,0,0,0
1.32,0,0,0
1.36,0,0,0
1.40,0,0,0
1.44,0,0,0
1.48,0,0,0
1.52,0,0,0
1.56,0,0,0
1.60,0,0,0
1.64,0,0,0
1.68,0,0,0
1.72,1,0,0
1.76,1,0,0
1.80,1,0,0
1.84,1,0,0
1.88,1,0,0
1.92,1,0,0
1.96,1,0,0
2.00,0,0,0
2.04,0,0,0
2.08,0,0,0
2.12,0,0,0
2.16,0,0,0
2.20,0,0,0
2.24,0,0,0
2.28,0,0,0
2.32,0,0,0
2.36,0,0,0
2.40,0,0,0
2.44,0,0,0
2.48,0,0,0
2.52,0,0,0
2.56,0,0,0
2.60,0,0,0
2.64,0,0,0
2.68,0,0,0
2.72,0,0,0
2.76,0,0,0
2.80,0,0,0
2.84,0,0,0
2.88,0,0,0
2.92,0,0,0
2.96,0,0,0
3.00,0,0,0
3.04,0,0,0
3.08,0,1,0
3.12,0,1,0
3.16,0,1,0
3.20,0,1,0
3.24,0,1,0
3.28,0,1,0
3.32,0,1,0
3.36,0,1,0
3.40,0,1,0
3.44,0,1,0
3.48,0,1,0
3.52,0,1,0
3.56,0,1,0
3.60,1,0,0
3.64,1,0,0
3.68,1,0,0
3.72,1,0,0
3.76,0,0,0
3.80,0,0,0
3.84,0,0,0
3.88,0,0,0
3.92,0,0,0
3.96,0,0,0
4.00,0,0,0
4.04,0,0,0
4.08,0,0,0
4.12,0,0,0
4.16,0,0,0
4.20,0,0,0
4.24,0,0,0
4.28,0,0,0
4.32,0,0,0
4.36,0,0,0
4.40,0,0,0
4.44,0,0,0
4.48,0,0,0
4.52,0,0,0
4.56,0,0,0
4.60,0,0,0
4.64,0,0,0
4.68,0,0,0
4.72,0,1,0
4.76,0,1,0
4.80,0,1,0
4.84,0,1,0
4.88,0,1,0
4.92,0,1,0
4.96,0,1,0
5.00,0,1,0
5.04,0,1,0
5.08,0,1,0
5.12,0,1,0
5.16,0,1,0
5.20,0,1,0
5.24,0,1,0
5.28,0,1,0
5.32,0,1,0
5.36,0,1,0
5.40,0,0,0
5.44,0,0,0
5.48,0,0,0
5.52,0,0,0
5.56,0,0,0
5.60,0,0,0
5.64,0,0,0
5.68,0,0,0
5.72,0,0,0
5.76,0,0,0
5.80,0,0,0
5.84,0,0,0
5.88,0,0,0
5.92,0,0,0
5.96,0,0,0
6.00,0,0,0
6.04,0,0,0
6.08,0,0,0
6.12,0,0,0
6.16,0,0,0
6.20,0,0,0
6.24,0,0,0
6.28,0,0,0
6.32,0,0,0
6.36,0,0,0
6.40,0,0,0
6.44,0,0,0
6.48,0,0,0
6.52,0,0,0
6.56,0,0,0
6.60,0,0,0
6.64,0,0,0
6.68,0,0,0
6.72,0,0,0
6.76,0,0,0
6.80,0,0,0
6.84,0,0,0
6.88,0,0,0
6.92,0,0,0
6.96,0,0,0
7.00,0,0,0
7.04,0,0,0
7.08,0,0,0
7.12,0,0,0
7.16,0,0,0
7.20,0,0,0
7.24,0,0,0
7.28,0,0,0
7.32,0,0,0
7.36,0,0,0
7.40,0,0,0
7.44,0,0,0
7.48,0,0,0
7.52,0,0,0
7.56,0,0,0
7.60,0,1,0
7.64,0,1,0
7.68,0,1,0
7.72,0,1,0
7.76,0,1,0
7.80,0,1,0
7.84,0,1,0
7.88,0,1,0
7.92,0,1,0
7.96,0,1,0
8.00,0,0,0
8.04,0,0,0
8.08,0,0,0
