Time,PT,DS,FBUOY,FLS
0.00,0,0,0,0
0.04,0,0,0,1
0.08,0,0,0,1
0.12,0,0,0,1
0.16,0,0,0,1
0.20,0,0,0,1
0.24,0,0,0,1
0.28,0,0,0,1
0.32,0,0,0,1
0.36,0,0,0,1
0.40,0,0,0,1
0.44,0,0,0,1
0.48,0,0,0,1
0.52,0,0,0,1
0.56,0,0,0,1
0.60,0,0,0,1
0.64,0,0,0,1
0.68,0,0,0,1
0.72,0,0,0,1
0.76,0,0,0,1
0.80,0,0,0,1
0.84,0,0,0,1
0.88,0,0,0,1
0.92,0,0,0,1
0.96,0,0,0,1
1.00,0,0,0,1
1.04,0,0,0,1
1.08,0,0,0,1
1.12,0,0,0,1
1.16,0,0,0,1
1.20,0,0,0,1
1.24,0,0,0,1
1.28,0,0,0,1
1.32,0,0,0,1
1.36,0,0,0,1
1.40,0,0,0,1
1.44,0,0,0,1
1.48,0,0,0,1
1.52,0,0,0,1
1.56,0,0,0,1
1.60,0,0,0,1
1.64,0,0,0,1
1.68,0,0,0,1
1.72,0,0,0,1
1.76,0,0,0,1
1.80,0,0,0,1
1.84,0,0,0,1
1.88,0,0,0,1
1.92,0,0,0,1
1.96,0,0,0,1
2.00,0,0,0,1
2.04,0,0,0,1
2.08,0,0,0,1
2.12,0,0,0,1
2.16,0,0,0,1
2.20,0,0,0,1
2.24,0,0,0,1
2.28,0,0,0,0
2.32,0,0,0,1
2.36,0,0,0,1
2.40,0,0,0,1
2.44,0,0,0,1
2.48,0,0,0,1
2.52,0,0,0,1
2.56,0,0,0,1
2.60,0,0,0,1
2.64,0,0,0,1
2.68,0,0,0,1
2.72,0,0,0,1
2.76,1,0,0,0
2.80,1,0,0,0
2.84,1,0,0,0
2.88,1,0,0,0
2.92,1,0,0,0
2.96,1,0,0,0
3.00,0,0,0,1
3.04,0,0,0,1
3.08,0,0,0,1
3.12,0,0,0,1
3.16,0,0,0,1
3.20,0,0,0,1
3.24,0,0,0,1
3.28,0,0,0,1
3.32,0,0,0,1
3.36,0,0,0,1
3.40,0,0,0,1
3.44,0,0,0,1
3.48,0,0,0,1
3.52,0,0,0,1
3.56,0,0,0,1
3.60,1,0,0,0
3.64,1,0,0,0
3.68,1,0,0,0
3.72,1,0,0,0
3.76,1,0,0,0
3.80,1,0,0,0
3.84,1,0,0,0
3.88,1,0,0,0
3.92,1,0,0,0
3.96,1,0,0,0
4.00,1,0,0,0
4.04,1,0,0,0
4.08,1,0,0,0
4.12,1,0,0,0
4.16,1,0,0,0
4.20,1,0,0,0
4.24,1,0,0,0
4.28,1,0,0,0
4.32,1,0,0,0
4.36,1,0,0,0
4.40,1,0,0,0
4.44,1,0,0,0
4.48,1,0,0,0
4.52,1,0,0,0
4.56,1,0,0,0
4.60,1,0,0,0
4.64,1,0,0,0
4.68,0,0,0,0
4.72,1,0,0,0
4.76,1,0,0,0
4.80,1,0,0,0
4.84,1,0,0,0
4.88,1,0,0,0
4.92,1,0,0,0
4.96,1,0,0,0
5.00,1,0,0,0
5.04,1,0,0,0
5.08,1,0,0,0
