Time,PT,DS,FBUOY
0.00,0,0,0
0.04,1,0,0
0.08,1,0,0
0.12,1,0,0
0.16,1,0,0
0.20,1,0,0
0.24,1,0,0
0.28,1,0,0
0.32,1,0,0
0.36,0,0,0
0.40,0,0,0
0.44,0,0,0
0.48,0,0,0
0.52,0,0,0
0.56,0,0,0
0.60,1,0,0
0.64,1,0,0
0.68,1,0,0
0.72,1,0,0
0.76,1,0,0
0.80,1,0,0
0.84,1,0,0
0.88,1,0,0
0.92,0,0,0
0.96,1,0,0
1.00,1,0,0
1.04,1,0,0
1.08,1,0,0
1.12,1,0,0
1.16,1,0,0
1.20,1,0,0
1.24,1,0,0
1.28,0,0,0
1.32,0,0,0
1.36,0,0,0
1.40,0,0,0
1.44,0,0,0
1.48,0,0,0
1.52,0,0,0
1.56,0,0,0
1.60,0,0,0
1.64,0,0,0
1.68,0,0,0
1.72,0,0,0
1.76,0,0,0
1.80,0,0,0
1.84,0,0,0
1.88,0,0,0
1.92,0,0,0
1.96,0,0,0
2.00,0,0,0
2.04,0,0,0
2.08,0,0,0
2.12,1,0,0
2.16,1,0,0
2.20,1,0,0
2.24,1,0,0
2.28,0,0,0
2.32,0,0,0
2.36,0,0,0
2.40,0,0,0
2.44,0,0,0
2.48,0,0,0
2.52,0,0,0
2.56,0,0,0
2.60,0,0,0
2.64,0,0,0
2.68,0,0,0
2.72,0,0,0
2.76,0,0,0
2.80,0,0,0
2.84,0,0,0
2.88,0,0,0
2.92,0,0,0
2.96,0,0,0
3.00,0,0,0
3.04,0,0,0
3.08,0,0,0
3.12,0,0,0
3.16,0,0,0
3.20,0,0,0
3.24,0,0,0
3.28,0,0,0
3.32,0,0,0
3.36,0,0,0
3.40,0,0,0
3.44,0,0,0
3.48,0,0,0
3.52,0,0,0
3.56,0,0,0
3.60,0,0,0
3.64,0,0,0
3.68,0,0,0
3.72,0,0,0
3.76,0,0,0
3.80,0,0,0
3.84,0,0,0
3.88,0,0,0
3.92,0,0,0
3.96,0,0,0
4.00,0,0,0
4.04,0,0,0
4.08,0,0,0
4.12,0,0,0
4.16,0,0,0
4.20,0,0,0
4.24,0,0,0
4.28,0,0,0
4.32,0,0,0
4.36,0,0,0
4.40,0,0,0
4.44,0,0,0
4.48,0,0,0
4.52,0,0,0
4.56,0,0,0
4.60,0,0,0
4.64,0,0,0
4.68,0,0,0
4.72,0,0,0
4.76,0,0,0
4.80,0,0,0
4.84,0,0,0
4.88,1,0,0
4.92,1,0,0
4.96,1,0,0
5.00,1,0,0
5.04,1,0,0
5.08,1,0,0
5.12,1,0,0
5.16,1,0,0
5.20,1,0,0
5.24,1,0,0
5.28,1,0,0
5.32,1,0,0
5.36,1,0,0
5.40,1,0,0
5.44,1,0,0
5.48,1,0,0
5.52,0,0,0
5.56,0,0,0
5.60,0,0,0
5.64,0,0,0
5.68,0,0,0
5.72,0,0,0
5.76,0,0,0
5.80,0,0,0
5.84,0,0,0
5.88,0,0,0
5.92,0,0,0
5.96,0,0,0
6.00,0,0,0
6.04,0,0,0
6.08,0,0,0
6.12,0,0,0
6.16,1,0,0
6.20,1,0,0
6.24,1,0,0
6.28,1,0,0
6.32,1,0,0
6.36,1,0,0
6.40,1,0,0
6.44,1,0,0
6.48,1,0,0
6.52,1,0,0
6.56,1,0,0
6.60,1,0,0
6.64,1,0,0
6.68,1,0,0
6.72,1,0,0
6.76,1,0,0
6.80,1,0,0
6.84,1,0,0
6.88,1,0,0
6.92,1,0,0
6.96,1,0,0
7.00,1,0,0
7.04,1,0,0
7.08,1,0,0
7.12,1,0,0
7.16,1,0,0
7.20,1,0,0
7.24,1,0,0
7.28,1,0,0
7.32,1,0,0
7.36,0,0,0
7.40,0,0,0
7.44,0,0,0
7.48,0,0,0
7.52,0,0,0
7.56,0,0,0
7.60,0,0,0
7.64,1,0,0
7.68,1,0,0
7.72,1,0,0
7.76,1,0,0
7.80,1,0,0
7.84,0,0,0
7.88,0,0,0
7.92,0,0,0
7.96,0,0,0
8.00,0,0,0
8.04,0,0,0
8.08,0,0,0
8.12,0,0,0
8.16,0,0,0
8.20,0,0,0
8.24,0,0,0
8.28,0,0,0
8.32,0,0,0
8.36,0,0,0
8.40,0,0,0
8.44,0,0,0
8.48,0,0,0
8.52,0,0,0
8.56,0,0,0
8.60,0,0,0
8.64,0,0,0
8.68,0,0,0
8.72,0,0,0
8.76,0,0,0
8.80,0,0,0
8.84,1,0,0
8.88,1,0,0
8.92,1,0,0
8.96,1,0,0
9.00,1,0,0
9.04,0,0,0
9.08,0,0,0
9.12,0,0,0
9.16,0,0,0
9.20,0,0,0
9.24,0,0,0
9.28,0,0,0
9.32,0,0,0
9.36,0,0,0
9.40,0,0,0
9.44,0,0,0
9.48,0,0,0
9.52,0,0,0
9.56,0,0,0
9.60,0,0,0
9.64,0,0,0
9.68,0,0,0
9.72,0,0,0
9.76,0,0,0
9.80,0,0,0
9.84,0,0,0
9.88,0,0,0
9.92,0,0,0
9.96,0,0,0
10.00,0,0,0
10.04,0,0,0
10.08,0,0,0
10.12,0,0,0
10.16,0,0,0
10.20,0,0,0
10.24,0,0,0
10.28,0,0,0
10.32,0,0,0
10.36,0,0,0
10.40,1,0,1
10.44,1,0,1
10.48,1,0,1
10.52,1,0,1
10.56,1,0,1
10.60,1,0,1
10.64,1,0,1
10.68,1,0,1
10.72,1,0,1
10.76,1,0,1
10.80,1,0,1
10.84,1,0,1
10.88,0,0,0
10.92,0,0,0
10.96,0,0,0
11.00,0,0,0
11.04,0,0,0
11.08,0,0,0
11.12,0,0,0
11.16,0,0,0
11.20,0,0,0
11.24,0,0,0
11.28,0,0,0
11.32,0,0,0
11.36,0,0,0
11.40,0,0,0
11.44,0,0,0
11.48,0,0,0
11.52,0,0,0
11.56,0,0,0
11.60,0,0,0
11.64,0,0,0
11.68,0,0,0
11.72,0,0,0
11.76,0,0,0
11.80,0,0,0
11.84,0,0,0
11.88,0,0,0
11.92,0,0,0
11.96,0,0,0
12.00,0,0,0
12.04,0,0,0
12.08,0,0,0
12.12,0,0,0
12.16,0,0,0
12.20,0,0,0
12.24,0,0,0
12.28,0,0,0
12.32,0,0,0
12.36,0,0,0
12.40,0,0,0
12.44,0,0,0
12.48,0,0,0
12.52,0,0,0
12.56,0,0,0
12.60,0,0,0
12.64,0,0,0
12.68,0,0,0
12.72,0,0,0
12.76,0,0,0
12.80,0,0,0
12.84,0,0,0
12.88,0,0,0
12.92,0,0,0
12.96,0,0,0
13.00,0,0,0
13.04,0,0,0
13.08,0,0,0
13.12,0,0,0
13.16,0,0,0
13.20,0,0,0
13.24,0,0,0
13.28,0,0,0
13.32,0,0,0
13.36,0,0,0
13.40,0,0,0
13.44,0,0,0
13.48,0,0,0
13.52,0,0,0
13.56,0,0,0
13.60,0,0,0
13.64,0,0,0
13.68,0,0,0
13.72,0,0,0
